id,firstname,lastname,name,grille1,grille2,grille3,grille4,grille5
1,Perry,Cadmar,Perry Cadmar,8:1:7:49:28:6:41:1,39:48:30:14:41:13:35:3,9:40:42:27:45:39:40:4,37:18:24:36:20:28:5:6,16:4:11:40:24:20:46:-1
2,Talya,Mozelle,Talya Mozelle,19:25:47:22:35:16:7:8,49:47:4:44:7:30:20:5,19:34:21:14:38:47:28:10,20:13:20:44:9:25:7:-1,8:33:22:15:13:20:5:9
3,Shandie,Heisel,Shandie Heisel,34:32:26:25:49:22:9:1,31:31:48:26:20:37:37:5,2:39:19:5:8:21:18:8,42:16:8:18:41:23:35:5,48:40:1:1:10:32:6:2
4,Sam,Durware,Sam Durware,24:24:25:24:18:34:3:8,23:20:39:44:47:39:13:4,45:48:2:48:3:33:32:8,24:9:3:10:31:4:7:5,1:43:3:49:23:26:45:5
5,Ariela,Yuille,Ariela Yuille,47:24:20:18:49:40:18:-1,25:3:36:4:40:12:37:3,9:4:1:29:41:34:27:2,37:2:11:20:49:25:37:2,38:31:32:31:42:11:9:9
6,Jenda,Newell,Jenda Newell,4:39:2:46:27:47:28:1,2:2:8:45:19:39:11:2,23:44:3:45:4:25:10:-1,44:1:48:49:48:24:39:7,40:15:14:26:41:19:6:8
7,Jessy,Philoo,Jessy Philoo,14:19:15:39:44:13:16:6,33:14:38:42:29:25:10:2,29:45:17:22:25:16:2:7,17:21:43:5:7:13:18:-1,34:8:3:20:11:41:47:4
8,Emmey,Mallon,Emmey Mallon,17:37:6:37:46:38:18:8,27:42:37:21:13:43:11:3,34:12:26:8:35:7:25:-1,38:6:20:40:45:49:21:6,27:39:46:4:30:23:24:7
9,Gloria,Rozanna,Gloria Rozanna,1:1:38:10:28:1:8:10,31:35:40:40:7:48:12:5,13:36:42:20:34:4:13:-1,3:32:38:25:39:18:43:9,12:8:30:26:44:20:43:1
10,Fredericka,Chick,Fredericka Chick,17:35:36:40:36:34:37:6,24:3:9:14:49:27:42:1,2:37:12:30:32:24:36:3,14:34:40:20:10:19:22:6,20:15:11:36:34:24:27:4
11,Andree,Emmaline,Andree Emmaline,37:38:14:27:40:21:16:5,24:18:14:30:46:35:40:-1,40:1:48:21:32:4:44:1,6:24:29:42:39:5:3:3,12:31:29:8:32:18:8:3
12,Wileen,Weide,Wileen Weide,7:20:48:38:11:36:4:9,9:32:44:46:8:21:28:3,48:29:8:8:40:6:44:3,31:9:35:42:33:28:25:7,36:9:42:8:7:10:4:3
13,Basia,Rheingold,Basia Rheingold,4:24:42:19:2:27:14:4,48:38:42:41:4:22:44:4,30:41:1:16:1:22:20:-1,25:31:15:24:29:37:29:2,41:48:7:24:17:21:4:-1
14,Averyl,Lenny,Averyl Lenny,17:37:40:10:47:28:31:1,45:18:20:5:1:22:24:3,46:27:30:42:45:3:41:1,39:15:23:45:19:41:13:1,26:5:37:44:23:29:22:8
15,Ivett,Vorster,Ivett Vorster,30:48:49:11:19:20:21:-1,32:23:6:35:26:34:45:3,44:36:32:27:3:40:43:1,2:38:11:40:4:40:29:8,30:16:31:40:36:17:9:6
16,Jorry,Love,Jorry Love,30:40:48:49:4:46:33:6,48:23:37:18:27:13:35:9,42:3:10:20:47:27:41:6,38:42:18:5:39:2:25:6,19:34:18:39:8:41:38:4
17,Belva,Lipson,Belva Lipson,14:38:29:1:35:21:35:3,43:2:17:23:43:45:7:2,23:41:9:15:38:49:4:1,33:30:31:25:41:16:19:9,43:29:46:23:10:38:46:-1
18,Ninnetta,McClimans,Ninnetta McClimans,24:22:29:14:22:38:39:7,28:26:2:42:22:22:8:8,39:20:16:2:37:39:9:6,10:16:34:10:31:19:6:5,20:10:20:32:9:13:19:8
19,Mignon,Tybald,Mignon Tybald,29:27:7:3:8:12:42:10,38:17:46:38:29:16:33:3,10:36:32:1:15:49:18:4,6:17:49:37:21:26:35:1,47:31:33:1:20:24:12:7
20,Kathi,Center,Kathi Center,28:5:40:47:27:20:31:2,44:41:37:23:37:40:48:3,1:10:2:42:26:1:13:8,26:35:47:32:39:40:39:7,28:21:44:43:36:23:32:9
21,Jasmina,Bouchard,Jasmina Bouchard,7:5:47:23:29:9:43:4,25:15:22:15:16:6:18:5,36:15:31:33:21:26:17:3,35:30:17:45:14:8:43:7,35:31:38:42:20:23:5:9
22,Wynne,Harned,Wynne Harned,19:31:34:30:15:45:2:5,26:32:49:26:40:26:5:3,14:48:17:46:27:10:19:-1,35:15:41:9:5:34:27:2,43:27:35:16:39:29:49:7
23,Bill,Philoo,Bill Philoo,24:25:25:2:44:47:32:2,30:32:39:36:23:35:3:6,39:11:8:14:40:12:20:8,14:14:16:37:29:9:40:4,37:17:20:22:37:6:18:6
24,Shandie,Raul,Shandie Raul,26:42:38:21:14:13:40:8,5:13:25:11:37:24:43:10,7:20:44:3:10:33:8:5,45:16:11:6:13:43:38:3,31:33:9:20:32:43:36:2
25,Tiffie,Wilkinson,Tiffie Wilkinson,17:29:17:32:13:35:8:5,10:32:36:36:42:16:32:1,4:19:18:21:20:2:16:8,30:34:43:20:27:9:21:2,4:46:19:9:25:43:38:4
26,Gloria,Sheedy,Gloria Sheedy,16:26:1:32:26:24:46:6,17:12:39:16:24:14:46:7,30:30:37:5:14:11:14:10,15:49:14:25:43:12:21:-1,35:24:39:13:23:40:2:4
27,Aili,Dosia,Aili Dosia,46:2:18:19:44:38:49:3,8:29:39:25:27:2:39:3,12:46:6:4:8:35:39:8,34:24:21:44:33:26:39:7,2:39:39:11:38:10:45:1
28,Lila,Huggins,Lila Huggins,10:13:44:28:36:31:48:4,5:25:35:30:5:10:31:5,17:3:3:28:42:10:20:8,40:20:4:44:49:24:7:8,41:46:20:12:23:40:33:9
29,Morganica,Joseph,Morganica Joseph,10:20:25:23:29:2:18:10,19:8:38:37:26:9:7:9,3:27:7:46:26:15:29:10,49:4:7:22:5:29:27:-1,22:11:5:25:37:41:28:10
30,Isa,Sawtelle,Isa Sawtelle,19:36:29:37:19:37:16:6,15:18:49:24:30:29:12:4,6:36:46:7:20:11:34:3,29:30:21:15:1:34:8:-1,25:27:11:22:17:33:30:5
31,Chere,Romelda,Chere Romelda,40:7:37:1:1:16:45:9,36:36:20:8:35:9:5:3,11:7:22:17:21:30:18:7,5:10:13:21:13:42:44:8,13:38:15:6:42:24:27:8
32,Amelia,Dorothy,Amelia Dorothy,5:5:34:38:29:28:8:9,39:49:22:1:12:4:16:9,10:5:20:5:30:29:47:5,29:16:15:26:35:25:42:1,3:35:24:19:34:31:34:6
33,Clo,Azeria,Clo Azeria,13:43:37:15:3:29:4:2,17:46:47:16:23:27:34:5,48:17:48:24:41:39:39:5,19:1:26:47:25:21:8:7,11:30:43:44:22:44:44:8
34,Annora,Lorenz,Annora Lorenz,35:38:31:35:4:16:15:9,48:40:2:49:31:27:31:-1,48:45:28:10:47:15:13:4,31:14:36:16:44:32:39:8,14:28:2:47:29:5:22:4
35,Berget,Erskine,Berget Erskine,32:9:28:48:33:15:25:8,48:47:13:8:9:37:22:9,34:38:33:44:13:12:14:6,25:10:27:45:25:18:26:1,46:42:21:24:17:47:44:7
36,Gale,Goddard,Gale Goddard,6:12:8:49:14:15:8:7,47:24:40:6:3:30:6:4,7:22:2:49:24:40:47:7,10:9:49:26:38:34:8:-1,6:6:25:17:37:32:44:4
